time,lat,long
1,51.3389,12.38149
2,51.33906,12.38157
3,51.33922,12.38162
4,51.33945,12.38169
5,51.33958,12.38174
6,51.33979,12.3818
7,51.33984,12.38168
8,51.33971,12.38162
9,51.33958,12.38159
10,51.33947,12.38155
11,51.33934,12.38151
12,51.33925,12.38148
13,51.33914,12.38145
14,51.33902,12.38139
15,51.33895,12.38133
16,51.33901,12.38116
17,51.33911,12.38127
18,51.33923,12.38135
19,51.33935,12.38139
20,51.33948,12.38144
21,51.3396,12.38147
22,51.3397,12.38149
23,51.33978,12.38152
24,51.33988,12.38154
25,51.33991,12.38138
26,51.33982,12.38133
27,51.33971,12.38131
28,51.33962,12.3813
29,51.33947,12.38127
30,51.33936,12.38124
31,51.33925,12.3812
32,51.33918,12.38116
33,51.33907,12.38103
34,51.33908,12.38089
35,51.33915,12.38096
36,51.33926,12.38106
37,51.33935,12.38111
38,51.33947,12.38116
39,51.33957,12.38118
40,51.33966,12.3812
41,51.33975,12.38122
42,51.33985,12.38125
43,51.33986,12.38108
44,51.33971,12.38104
45,51.33956,12.381
46,51.33946,12.38099
47,51.33937,12.38097
48,51.33925,12.38094
49,51.33918,12.38087
50,51.33911,12.38078
51,51.33904,12.3807
52,51.3391,12.38057
53,51.33918,12.38065
54,51.33927,12.38077
55,51.33932,12.3808
56,51.33941,12.38085
57,51.3395,12.38087
58,51.33958,12.38086
59,51.33968,12.38087
60,51.33977,12.38091
61,51.33987,12.38092
62,51.3399,12.38079
63,51.33981,12.38074
64,51.33969,12.38072
65,51.33958,12.38071
66,51.3395,12.38066
67,51.33939,12.38058
68,51.33931,12.3805
69,51.33924,12.38043
70,51.33921,12.38028
71,51.33928,12.38015
72,51.33942,12.38003
73,51.33958,12.38006
74,51.33969,12.38011
75,51.33984,12.38017
76,51.33998,12.38021
77,51.34012,12.38024
78,51.34031,12.38029
79,51.34039,12.38033
80,51.34054,12.38037
81,51.34067,12.38043
82,51.34084,12.38049
83,51.34098,12.38054
84,51.34111,12.38059
85,51.34122,12.38061
86,51.34133,12.38065
87,51.34145,12.38067
88,51.34158,12.38071
89,51.34167,12.38074
90,51.34175,12.38078
91,51.34187,12.38082
92,51.342,12.38085
93,51.34211,12.3809
94,51.3422,12.38095
95,51.34232,12.38101
96,51.34247,12.38108
97,51.34266,12.38115
98,51.34283,12.38124
99,51.34295,12.38128
